Woord,Lidwoord,Engelse vertaling
ladder,de,ladder
laken,het,"sheet, cover, woolen cloth"
lamp,de,lamp
land,het,"land, country"
leeftijd,de,age
leerling,de,pupil
leeuw,de,lion
leger,het,"army, military force, lair"
lengte,de,length
lepel,de,spoon
les,de,lesson
leven,het,life
lichaam,het,body
licht,het,light
liefde,de,love
lijk,het,corpse
liniaal,de,ruler
lip,de,lip
list,de,"ruse, trick, cunning plan"
lood,het,lead
lot,het,"fate, lottery ticket"
lucht,de,air
lunch,de,lunch
maag,de,stomach
maal,het,meal
maaltijd,de,meal
maan,de,moon
maand,de,month
maat,de,measure
machine,de,machine
mama,de,mum
man,de,man
mand,de,basket
manier,de,manner
map,de,folder
markt,de,market stall
medicijn,het,"medicine, drug"
meel,het,flour
meisje,het,girl
melk,de,milk
meneer,de,"mister, sir"
mengsel,het,mix
mens,de,"man, woman, human"
mes,het,knive
meubel,het,piece of furniture
mevrouw,de,"mrs, ms, mam"
middel,het,"waist, means, method"
midden,het,middle
minuut,de,minute
mis,de,mass
model,het,model
moeder,de,mother
moment,het,"moment, instant"
mond,de,mouth
moord,de,murder
morgen,de,morning
munt,de,"coin, mint"
muziek,de,music
naald,de,needle
naam,de,name
nacht,de,night
natuur,de,nature
negen,de,nine
nek,de,neck
net,het,net
neus,de,nose
nieuws,het,news
nood,de,need
noot,de,"nut, note (music)"
nummer,het,number
object,het,object
oceaan,de,ocean
ochtend,de,morning
oefening,de,"practice, exercise"
offer,het,offer
olie,de,oil
olifant,de,elephant
oma,de,grandma
onderwerp,het,subject
onderzoek,het,"research, investigation"
ongeluk,het,accident
ontbijt,het,breakfast
oog,het,eye
oom,de,uncle
oor,het,ear
oorlog,de,war
oorzaak,de,cause
opa,de,graddad
opleiding,de,"training, educational programme"
orde,de,order
ouder,de,parent
paar,het,pair
paard,het,horse
pad,het,path
pagina,de,page
pan,de,pan
papa,de,dad
papier,het,paper
park,het,park
partner,de,partner
pas,de,passport
pen,de,pen (writing)
peper,de,pepper
periode,de,period
persoon,de,person
piano,de,piano
pijn,de,"pain, ache"
pistool,het,"handgun, pistol"
plaat,de,"panel, slab, record, illustration"
plaatje,het,"picture, photo, (single) record"
plaats,de,place
plafond,het,ceiling
plank,de,"plank, shelf"
plant,de,plant
plastic,het,plastic
plattegrond,de,"map, plan"
plein,het,"place, square"
poes,de,cat
politie,de,police
poort,de,gate
positie,de,position
postzegel,de,stamp
potlood,het,pencil
prijs,de,price
prins,de,prince
prinses,de,princess
probleem,het,problem
product,het,product
provincie,de,"province, county"
publiek,het,"audience, public"
punt,de,point
raam,het,window
radio,de,radio
rapport,het,"report, account"
recht,het,"right, justice, law"
regen,de,rain
reis,de,journey
rekenmachine,de,calculator
rest,de,"rest, leftover"
restaurant,het,restaurant
resultaat,het,result
richting,de,direction
rijk,het,realm
rijst,de,rice
ring,de,ring
rok,de,skirt
rook,de,smoke
rots,de,large rock
rubber,het,"rubber, gum"
ruimte,de,"room, space"
sap,het,juice
schaap,het,sheep
schaar,de,scissors
schaduw,de,shadow
schip,het,ship
school,de,school
schouder,de,shoulder
schreeuw,de,scream
seconde,de,second
sex,de,intercourse
signaal,het,signal
slaapkamer,de,bedroom
sleutel,de,key
slot,het,"lock, castle"
smaak,de,taste
sneeuw,de,snow
snelheid,de,"speed, rate"
soep,de,soup
sok,de,sock
soort,de,"kind, species"
spel,het,game
sport,de,sport(s)
staal,het,"steel, specimen"
stad,de,"town, city"
stap,de,step
start,de,start
station,het,station
steen,de,"small rock, stone"
stem,de,voice
stempel,het,stamp
ster,de,start
steun,de,support
stilte,de,cilence
stoel,de,"chair, seat"
stof (gruis),het,dust
stof (materie),de,"fabric, substance matter"
stop,de,stop
storm,de,high wind
straat,de,street
straf,de,punishment
structuur,de,structure
student,de,student
studie,de,study
stuk,het,"piece, part"
succes,het,succes
suiker,de,sugar
taal,de,language
taart,de,"pie, cake, gateau"
tafel,de,table
tak,de,branch
tand,de,tooth
tante,de,aunt
tas,de,bag
taxi,de,"taxi, cab"
team,het,team
teen,de,toe
teken,het,sign
telefoon,de,telephone
televisie,de,television
tennis,de,tennis
terugkomst,de,return
test,de,test
thee,de,tea
tien,de,tennis
tijd,de,time
titel,de,title
toekomst,de,future
toename,de,increase
totaal,het,total
traan,de,tear
tram,de,tram
trein,de,train
trui,de,jumper
tuin,de,garden
tweede,de,second (in counting)
uur,het,hour
vader,de,father
vak,het,"occupation, compartment, discipline"
vakantie,de,holiday
varken,het,pig
verf,de,paint
vergissing,de,"mistake, oversight"
verhaal,het,"story, account"
verhoging,de,increase
verjaardag,de,birthday
verschil,het,difference
verstand,het,"intellect, sense"
verwachting,de,expectation
verzameling,de,"collection, set"
vet,het,fat
vier,de,four
vierkant,het,square
vijand,de,enemy
vijf,de,five
vijver,de,ornamental pond
vinger,de,finger
vis,de,fish
vlag,de,flag
vlees,het,meat
vlieg,de,fly
vliegtuig,het,aeroplane
vloer,de,floor
voedsel,het,"food, sustenance"
voet,de,foot
voetbal,de,football
vogel,de,bird
volgorde,de,"order, hierarchy"
voorbeeld,het,example
vork,de,fork
vorm,de,shape
vos,de,fox
vouw,de,pleat
vraag,de,question
vrede,de,peace
vreemde,de,tranger
vriend,de,friend
vrijheid,de,freedom
vrouw,de,"woman, wife"
vuur,het,fire
wacht,de,"guard, watch, lookout"
wapen,het,weapon
was,de,"wax, laundry"
water,het,water
watten,de,cotton wool
week,de,week
weer,het,weather
weg,de,"way, road"
wens,de,wish
wereld,de,world
werelddeel,het,continent
werk,het,work
wetenschap,de,science
wiel,het,wheel
wijn,de,wine
wild,het,"wildlife, game"
wind,de,wind
winkel,de,shop
winter,de,winter
wolf,de,woolf
wolk,de,cloud
wonder,het,miracle
woord,het,word
woud,het,"wood, forest"
zaak,de,"business, object"
zak,de,bag
zand,het,sand
zee,de,sea
zeep,de,soap
zeil,het,sail
zes,de,six
zeven,de,seven
ziekenhuis,het,hospital
ziel,de,soul
zilver,het,silver
zomer,de,summer
zon,de,sun
zoon,de,son
zorg,de,care
zout,het,salt
zus,de,sister
zwak,het,weak spot
zwembad,het,swimming pool
